run_size,er,esc
0,0,0
1,0.021249469,0.978750531
2,0.042498938,1.915002125
2.5,0.053123672,2.36719082
3,0.063748406,2.808754781
4,0.084997875,3.6600085
5,0.106247344,4.468763281
6,0.127496813,5.235019125
6.5,0.138121547,5.602209945
6.9,0.146621334,5.888312792
7.059,0.15,6
7.5,0.2,6
8,0.25,6
9,0.333333333,6
10,0.4,6
11,0.454545455,6
12,0.5,6
13,0.538461538,6
14,0.571428571,6
15,0.6,6
16,0.625,6
17,0.647058824,6
18,0.666666667,6
19,0.684210526,6
20,0.7,6
21,0.7,6.3
22,0.7,6.6
23,0.7,6.9
24,0.7,7.2
25,0.7,7.5
26,0.7,7.8
27,0.7,8.1
28,0.7,8.4
29,0.7,8.7
30,0.7,9
